request_type,department,resolution_estimate,Description
Abandoned Bicycle,"DPW, DPW",20 bd,This service request is to be used for bicycles that are left on public space and which are abandoned.
Abandoned Vehicle - On Private Property,"DPW, DPW",45 bd,"Please use this service request to request the removal of a vehicle on private property. Please note that some circumstances, including when vehicles have been reported stolen or vehicles are located on private property, specific legal processing is required before removal is possible. If the vehicle is determined to be dangerous by the Department of Public Works, it may be ticketed and towed immediately. Reports of abandoned vehicles are resolved within 13 days if the vehicle is located on public space or within 45 days from the date of verification if the vehicle is located on private property. A vehicle on private property cannot be legally removed before 45 days have passed since it was reported, without the property owner's permission."
Abandoned Vehicle - On Public Property,"DPW, DPW",13 bd,"Please use this service request to request the removal of vehicles on public property. Please note that some under some circumstances, including when vehicles have been reported stolen, specific legal processing may be required before removal is possible. If the vehicle is determined to be dangerous by the Department of Public Works, it may be immediately ticketed and towed. Reports of abandoned vehicles are resolved within 13 days, if the vehicle is indeed located on public space."
Alley Repair Investigation,DDOT,270 bd,"Please use this service request type to investigate alley surfaces issues. Please identify the specific alley location, provide a description of problem (i.e. pothole, re-paving) and describe the type of existing alley surface (i.e. dirt, concrete, brick). It is also helpful to provide any additional information specific to the proposed repair."
Bee Treatment and Inspection (DOH),DOH,14 bd,"Bee Treatment - This service request is limited to bees in public space only during the months of May through October.
Arboviral Inspection - This service request will consist of a site evaluation, public health education and larvicide application (if needed)."
Bicycle Services,DDOT,60 bd,"Please use this service request to report maintenance issues with bike lane wheel stops, trails, and bike racks and to request new bike racks in the public space.

*For maintenance of markings, pylons, or flexposts please submit a Roadway Striping/Markings service request *To report an issue with Capital Bikeshare please visit Capital Bike Share Link or call 1-877-430-BIKE

*DPW removes abandoned bikes under the Abandoned Bikes Service Request."
Residential Bulk Collection,DPW,14 bd,"Please use this service request type to arrange a pickup for up to 7 large items, such as furniture, appliances, water heaters, mattresses, and bed frames.

NOTE:
	Hazardous materials, construction debris, and tires are not allowed.
	Household Hazardous Waste and electronics (i.e. TV screens, computers/laptops) can be disposed of during a Special Waste Collection event. For a comprehensive list of accepted and prohibited items, you can visit https://dpw.dc.gov/page/acceptableprohibited-special-waste-items-rfk-stadium
	For a comprehensive list of accepted and prohibited items regarding the Ft. Totten Transfer Station at 4900 John F. McCormack Road, N.E. you can visit https://dpw.dc.gov/service/fort-totten-transfer-station
"
Bus/Rail Issues,DDOT,60 bd,"Please use this service request type to report any bus and/or rail issues. For additional information, please use this link, Buses in the District

DDOT manages the Circulator Bus program not Metro. More information can be found here, DC Circulator Bus"
CFSA Missing/Absconded,CFSA,1 cd,"This service request type should only be used to report placement violations from CFSA managed facilities.

"
Christmas Tree Removal-Missed,DPW,5 bd,"Holiday trees, wreaths and greenery collection will commence on January 2, 2024 to March 2, 2024. Holiday trees, wreaths and greenery must be placed at the front of property on public space ONLY.

Please remove ornaments and lights from trees and greenery prior to set out. Please do not put trees and greenery in a bag.

DPW does not collect artificial trees. After March 2, 2024 holiday trees and greenery will be collected at your point of collection for trash."
Container Removal,DPW,20 bd,"Please use this request type to request removal of supercans, trash container, and recycling carts

"
DC Dog Park Maintenance (DGS),DGS,60 bd,"Please report any maintenance related dog park issues at District government owned dog parks, such as broken gates, water fountain leaks, faucet repairs, etc. and the Department of General Services in coordination with the Department of Parks and Recreation (DPR) will investigate and address.
Note, this service request does not include removal of dog waste.
For additional information about Dog Parks, please visit website on the Department of Parks and Recreation: https://dpr.dc.gov/page/dog-parks-00
"
DC How Am I Driving?,ORM,30 bd,"The mission of the ""How am I Driving?"" program is to promote a safe driving culture for District government employees though reporting of unsafe driving practices to mitigate risk exposures while ensuring the safety of motorists and District government employees.

"
DC Indoor and Outdoor Pool Maintenance (DGS),DGS,60 bd,"Please report any maintenance related issues at District government owned pools, such as running showers, faucet repairs, broken dryers etc. and the Department of General Services in coordination with the Department of Parks and Recreation (DPR) Aquatics Divisions will investigate and address.
All DC Department of Parks and Recreation (DPR) indoor and outdoor pools, which are free for DC residents and require a paid membership for non-DC residents. Find a District government owned pool near you, visit: https://dpr.dc.gov/service/find-pool
"
DC Water - Flood Questions,DC Water,1 bd,"Sewer backups occur when there is a blockage which prevent the normal flow of wastewater from your house to the city’s sanitary sewer lines. This happens frequently during heavy rainstorms when the sewage system becomes overloaded causing a backup inside or outside of your home. DC Water will investigate and/or make corrections to the sanitary sewer lines as needed. If it is determined the city’s line is operating properly, the homeowner is responsible for contacting a DC licensed plumber.

"
Dead Animal Collection,DPW,2 bd,"Please use this request type to request the removal of dead animals on public property.

"
DFHV - For Hire Vehicle Concerns,DFHV,30 bd,"Please use this service request to submit a concern regarding a for-hire vehicle operator or company. To aid us in identifying an operator, please provide any of the following if possible: name, license and identification number (for taxis), license plate, or PVIN (ex. B123, D345). Identifying information can also be located on your receipt. If the concern is forwarded to court for adjudication, your testimony is required. Please note that for rideshare operator concerns, the Department of For-Hire Vehicles can only resolve issues where the trip began or ended in the District.

"
