,question,ai_response,flesch_reading_ease,gunning_fog,rt_complete,re_complete,complete,correct,revised_answer
0,How quickly can the city respond to a request for insect treatment?,"The city can respond to a request for insect treatment within 14 business days. 

Used request type: Bee Treatment and Inspection (DOH)",68.77,6.22,True,True,True,True,Correct
1,What type of insects are typically treated by the city?,"The city typically treats bees and rodents as part of its pest control services.
Used request types: Bee Treatment and Inspection (DOH), Rodent Inspection and Treatment (Rat)",57.77,9.84,False,False,False,True,Correct
2,Is there a limit on the number of times a resident can request insect treatment services?,"Residents in Washington D.C. can request insect treatment services for bees in public spaces during the months of May through October. There is no specific limit mentioned on the number of times a resident can request bee treatment and inspection services from the Department of Health (DOH).

Used request type: Bee Treatment and Inspection (DOH)",57.47,10.61,True,False,False,True,Correct
3,How long will it take to receive a new trash cart after submitting a request for delivery?,"It will take approximately 20 business days to receive a new trash cart after submitting a request for delivery.

Used request type: Trash Cart - Delivery",50.33,9.8,True,True,True,True,Correct
4,Is there a limit to the number of trash carts that can be delivered to a residence?,"There is no specific limit mentioned in the service request information regarding the number of trash carts that can be delivered to a residence. However, it is important to note that households with once-per-week collection should request a Supercan instead of a trash cart. For residences with 4 units or more, considered commercial, trash service must be provided by the landlord or HOA. If you require additional clarification on this matter, it is recommended to contact the Department of Public Works (DPW) directly for further assistance.

Used request type: Trash Cart - Delivery",44.34,15.62,True,False,False,True,Correct
5,Can I request a specific size or color of trash cart for delivery?,"Yes, you can request a specific size or color of trash cart for delivery in Washington D.C. When requesting a new or replacement trash cart, you can specify the size and color preference. However, please note that the availability of specific sizes or colors may vary based on the current inventory. To make a request for a specific size or color of a trash cart, you should use the ""Trash Cart - Delivery"" request type under the Department of DPW. The resolution estimate for this request is 20 business days.

Used request type: Trash Cart - Delivery",55.44,11.37,True,True,True,True,Correct
6,How can my child's school participate in the recycling program?,"To have your child's school participate in the recycling program, you can request a visit from the Department of Public Works (DPW) to provide recycling information. This can be done by submitting a service request under the ""Recycling - School Program"" category. The DPW typically resolves such requests within 5 business days.

Used request type: Recycling - School Program",48.5,10.63,True,True,True,True,Correct
7,What materials are accepted for recycling in the school program?,"- The materials accepted for recycling in the school program typically include paper, cardboard, plastic bottles, aluminum cans, and glass bottles. These are common items that can be recycled to promote sustainability and reduce waste in schools.

Used request type: Recycling - School Program",31.89,12.27,True,False,False,True,Correct
8,Are there any guidelines or procedures that need to be followed for the school recycling program?,"For the school recycling program, there are guidelines and procedures that need to be followed to ensure effective recycling practices at schools. The Department of Public Works (DPW) in Washington D.C. offers a Recycling - School Program where they provide recycling information and resources to schools. To request a visit to a school to provide recycling information, you can use the specific request type designated for this purpose under the DPW department.

Used request type: Recycling - School Program",38.92,11.35,True,False,False,True,Correct
9,How quickly can the city respond to requests for snow/ice removal?,"The city of Washington D.C. typically responds to requests for snow/ice removal within 24 hours during normal operating hours. However, please note that response times may vary during extreme weather conditions such as snow emergencies. For the most accurate and up-to-date information on snow/ice removal response times, it is recommended to contact the Department of Public Works (DPW) directly.

Used request type: Not sure",41.56,12.0,False,False,False,True,Correct
10,Are there specific criteria for determining which areas receive priority for snow/ice removal?,"DDOT prioritizes snow and ice removal based on various factors, including the classification of roadways, traffic volume, proximity to essential services like hospitals and schools, and the severity of weather conditions. Additionally, DDOT considers the impact on vulnerable road users, such as pedestrians and cyclists, when determining the order of snow and ice removal operations.

Used request type: Not sure",17.34,20.0,False,False,False,True,Correct
11,What steps can residents take to ensure their requests for snow/ice removal are addressed promptly?,"Residents in Washington D.C. can ensure their requests for snow/ice removal are addressed promptly by following these steps:

1. **Contact the Department of Public Works (DPW)**: Residents should report snow/ice removal requests to the DPW, which is responsible for managing snow removal operations in the District.

2. **Submit a Service Request**: Residents can submit a service request through the official DC 311 system or by calling 311 to report snow/ice removal needs in their area.

3. **Provide Specific Location Details**: When submitting the request, residents should provide specific details about the location requiring snow/ice removal, such as the address, nearest intersection, or any landmarks to help DPW crews locate the area efficiently.

4. **Monitor Communication Channels**: Residents should stay informed by monitoring official communication channels from DPW regarding snow removal operations, updates on service requests, and any relevant instructions for residents during snow events.

5. **Clear Pathways for Accessibility**: Residents are encouraged to clear snow and ice from sidewalks, pathways, and around fire hydrants on their property to ensure pedestrian safety and assist with overall snow removal efforts in the community.

**Used request type:** Not sure",22.45,15.13,False,False,False,True,Correct
12,How long does it typically take for a sidewalk repair request to be addressed?,"Typically, a sidewalk repair request in Washington D.C. is addressed within an estimated 270 business days. 

- Used request type: Sidewalk Repair",47.45,8.51,True,True,True,True,Correct
13,Are there any specific criteria for determining the urgency of a sidewalk repair request?,"In Washington D.C., the urgency of a sidewalk repair request is typically determined based on the severity of the damage to the sidewalk's surface and the potential safety hazards it poses to pedestrians. Common criteria for assessing urgency include the extent of cracking or breakage, presence of tripping hazards, visibility of tree roots causing uplift, and overall impact on pedestrian safety.

Used request type: Sidewalk Repair",29.35,13.87,True,False,False,True,Correct
14,Can residents request a follow-up inspection after a sidewalk repair has been completed?,"Residents can request a follow-up inspection after a sidewalk repair has been completed by submitting a new service request under the ""Public Space Inspection"" request type managed by the DDOT department. This request type is suitable for issues related to completed repairs, ensuring that the repaired sidewalk meets safety standards and is in compliance with regulations. The DDOT department will conduct a follow-up inspection within the specified resolution estimate of 60 business days to assess the quality and safety of the repaired sidewalk.

Used request type: Public Space Inspection",31.92,15.21,True,True,True,True,Correct
15,When will the roadway striping / markings be completed in my neighborhood?,"The roadway striping / markings in your neighborhood are estimated to be completed within 270 business days. This estimate is provided by the DDOT department. For more specific updates or inquiries, you may contact DDOT directly for further assistance.

Used request type: Roadway Striping / Markings",43.39,12.58,True,True,True,True,Correct
16,How often are roadway striping / markings updated or refreshed?,"Roadway striping/markings are typically updated or refreshed based on the condition of the markings and the level of wear and tear they have experienced. In Washington D.C., residents can request maintenance for faded or damaged markings, striping, pylons, flex posts, and bollards through the Roadway Striping/Markings service request with the DDOT department. The resolution estimate for this type of request is approximately 270 business days.

Used request type: Roadway Striping / Markings",48.6,11.88,True,True,True,True,Correct
17,Can residents request specific types of roadway striping / markings for their area?,"Residents can request specific types of roadway striping/markings for their area by submitting a Traffic Safety Investigation service request through 311. This request type is used for new markings or striping where they did not previously exist. For faded or damaged markings, striping, pylons, flex posts, and bollards, residents should use the Roadway Striping/Markings request type under the DDOT department. 

Used request type: Roadway Striping/Markings",38.01,10.83,False,False,False,True,Correct
18,How can I request parking enforcement in my neighborhood?,"To request parking enforcement in your neighborhood, you can submit a request under the ""Parking Enforcement"" request type through the Department of Public Works (DPW). Please note that the normal operating hours for the Parking Control Branch are generally from 6:00 am until 9:30 pm, Monday through Friday. Requests made outside of these hours may not be completed within the usual timeframe. For urgent matters or violations outside of regular hours, you may need to contact the appropriate authorities or follow alternative procedures.

Used request type: Parking Enforcement",45.15,12.49,True,False,False,True,Correct
19,What are the specific regulations for parking enforcement in residential areas?,"I'm not sure which specific request type contains the regulations for parking enforcement in residential areas. Would you like me to provide information based on the available service requests related to parking enforcement, or would you like to submit a new request for this specific information?",31.21,16.16,False,False,False,False,"The specific regulations for parking enforcement in residential areas can typically include restrictions on parking without a permit, time limits for parking, and designated parking zones for residents. For example, in the Residential Parking Program (RPP), on-street parking is limited to participating residents with the appropriate zone RPP sticker, and parking without a permit may result in violations. Additionally, parking enforcement hours and procedures may vary, with enforcement typically occurring during specific hours on weekdays. It is advisable to consult the local parking regulations or authorities for detailed information on parking enforcement in residential areas."
20,How quickly can I expect parking enforcement to respond to my request?,"Parking enforcement requests made during the normal operating hours of the Parking Control Branch (6:00 am to 9:30 pm, Monday through Friday) typically have a resolution estimate of 1 business day. However, requests made at night, on weekends, government holidays, or during extreme weather conditions may not be completed within the established timeframe. 

Used request type: Parking Enforcement",34.97,13.93,True,True,True,True,Correct
