,request_type,question
0,Insect Treatment,How quickly can the city respond to a request for insect treatment?
1,Insect Treatment,What type of insects are typically treated by the city?
2,Insect Treatment,Is there a limit on the number of times a resident can request insect treatment services?
3,Trash Cart - Delivery,How long will it take to receive a new trash cart after submitting a request for delivery?
4,Trash Cart - Delivery,Is there a limit to the number of trash carts that can be delivered to a residence?
5,Trash Cart - Delivery,Can I request a specific size or color of trash cart for delivery?
6,Recycling - School Program,How can my child's school participate in the recycling program?
7,Recycling - School Program,What materials are accepted for recycling in the school program?
8,Recycling - School Program,Are there any guidelines or procedures that need to be followed for the school recycling program?
9,Snow/Ice Removal,How quickly can the city respond to requests for snow/ice removal?
10,Snow/Ice Removal,Are there specific criteria for determining which areas receive priority for snow/ice removal?
11,Snow/Ice Removal,What steps can residents take to ensure their requests for snow/ice removal are addressed promptly?
12,Sidewalk Repair,How long does it typically take for a sidewalk repair request to be addressed?
13,Sidewalk Repair,Are there any specific criteria for determining the urgency of a sidewalk repair request?
14,Sidewalk Repair,Can residents request a follow-up inspection after a sidewalk repair has been completed?
15,Roadway Striping / Markings,When will the roadway striping / markings be completed in my neighborhood?
16,Roadway Striping / Markings,How often are roadway striping / markings updated or refreshed?
17,Roadway Striping / Markings,Can residents request specific types of roadway striping / markings for their area?
18,Parking Enforcement,How can I request parking enforcement in my neighborhood?
19,Parking Enforcement,What are the specific regulations for parking enforcement in residential areas?
20,Parking Enforcement,How quickly can I expect parking enforcement to respond to my request?
21,DOEE - Bag Law Tips,How can I ensure I am in compliance with the DOEE Bag Law?
22,DOEE - Bag Law Tips,Are there any exemptions to the DOEE Bag Law that I should be aware of?
23,DOEE - Bag Law Tips,What are some tips for reducing my use of single-use plastic bags in accordance with the DOEE Bag Law?
24,Supercan - Repair,How long will it take for my Supercan to be repaired?
25,Supercan - Repair,What is the process for requesting a repair for my Supercan?
26,Supercan - Repair,Will there be any additional costs associated with repairing my Supercan?
27,Recycling- Information Request,How do I properly dispose of electronics for recycling?
28,Recycling- Information Request,What items can be recycled in my curbside bin?
29,Recycling- Information Request,Where can I find information on drop-off locations for recycling hazardous materials?
30,DDS - Theft of Personal Property,How can I report the theft of personal property through the 311 system?
31,DDS - Theft of Personal Property,Will I need to provide any documentation or evidence of the theft when submitting a request?
32,DDS - Theft of Personal Property,What steps will be taken by the city to investigate and address the theft of personal property reported through 311?
33,Residential Parking Permit Violation,How do I report a residential parking permit violation?
34,Residential Parking Permit Violation,What are the consequences for violating a residential parking permit?
35,Residential Parking Permit Violation,Can I request a review or appeal for a residential parking permit violation ticket?
36,Resident Parking Permit,How do I apply for a resident parking permit?
37,Resident Parking Permit,What documents do I need to provide to obtain a resident parking permit?
38,Resident Parking Permit,How long does it take to receive a resident parking permit after applying?
39,Abandoned Vehicle - On Private Property,How long does it typically take for the city to respond to a report of an abandoned vehicle on private property?
40,Abandoned Vehicle - On Private Property,What steps can I take as a concerned resident to expedite the process of having an abandoned vehicle removed from private property?
41,Abandoned Vehicle - On Private Property,Are there any specific criteria or regulations that determine whether a vehicle is considered abandoned on private property?
42,Bicycle Services,How can I request a bike rack installation in my neighborhood?
43,Bicycle Services,What resources are available for reporting abandoned bicycles?
